iterations,training scores,test scores
1,0.544290909090909,0.5341
2,0.6082181818181818,0.599
3,0.6266363636363637,0.6102
4,0.6595636363636364,0.6485
5,0.6909636363636363,0.6797
6,0.6526363636363637,0.6399
7,0.679509090909091,0.666
8,0.7065272727272728,0.6932
9,0.6958727272727273,0.6803
10,0.7014363636363636,0.6879
11,0.7019272727272727,0.6871
12,0.7206363636363636,0.706
13,0.718709090909091,0.7034
14,0.7095636363636364,0.6952
15,0.7232545454545455,0.707
16,0.7320363636363636,0.7138
17,0.7415818181818182,0.7242
18,0.7118545454545454,0.6959
19,0.7227636363636364,0.7052
20,0.7364545454545455,0.7176
